Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ALK,anaplastic lymphoma kinase (Ki-1),238,2:29193224-29920659,2p23,yes,yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,familial neuroblastoma,"L, E, M",Dom,oncogene,"T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1",,,"ENSG00000171094,CD246,TFG/ALK,Q9UM73,ALK,238"
AMER1,APC membrane recruitment protein 1,139285,X:64186117-64193286,Xq11.2,yes,,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,,,"AMER1,RP11-403E24_2,WTX,FLJ39827,ENSG00000184675,FAM123B,139285"
APC,adenomatous polyposis of the colon gene,324,5:112754891-112844126,5q21,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli; Turcot syndrome","E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"324,DP2,DP2_5,DP3,GS,FPC,P25054,ENSG00000134982,APC"
AR,Androgen Receptor,367,X:67545147-67723841,Xq12,yes,yes,prostate,,,E,Dom,oncogene,Mis,,yes,"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy","AR,P10275,KD,NR3C4,AIS,TFM,RP11-383C12_1,SMAX1,HUMARA,SBMA,DHTR,ENSG00000169083,367"
ARHGAP26,Rho GTPase activating protein 26,23092,5:142770762-143222446,5q31,yes,,"AML, MDS",,,L,Dom,TSG,"T, F, S",KMT2A,,,"23092,KIAA0621,FLJ42530,GRAF,OPHN1L,OPHN1L1,ENSG00000145819,ARHGAP26"
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),23365,11:120337244-120485077,11q23.3,yes,,AML,,,L,Dom,TSG,T,KMT2A,,,"23365,Q9NZN5,PRO2792,DKFZp686O2372,LARG,KIAA0382,ENSG00000196914,ARHGEF12"
ARID1A,AT rich interactive domain 1A (SWI-like),8289,1:26696404-26780756,1p35.3,yes,,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,TSG,"Mis, N, F, S, D, T",MAST2,,,"ARID1A,BAF250,BAF250a,P270,RP1-50O24_1,B120,BM029,C1orf4,SMARCF1,ENSG00000117713,8289"
ARID1B,AT rich interactive domain 1B,57492,6:156778104-157207891,6q25.1,yes,,"breast, hepatocellular carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,,,"57492,6A3-5,BAF250b,BRIGHT,DAN15,ELD/OSA1,KIAA1235,p250R,ENSG00000049618,ARID1B"
ARID2,AT rich interactive domain 2,196528,12:45729837-45905078,12q12,yes,,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,,,"196528,ENSG00000189079,BAF200,DKFZp686G052,DKFZp779P0222,FLJ30619,KIAA1557,p200,Q68CP9,ARID2"
ARNT,aryl hydrocarbon receptor nuclear translocator,405,1:150812021-150876567,1q21,yes,,AML,,,L,Dom,oncogene/TSG,T,ETV6,,,"405,HIF1BETA,TANGO,HIF1B,HIF-1beta,P27540,ENSG00000143437,ARNT"
ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",79058,17:81977648-82017323,17q25,yes,,alveolar soft part sarcoma,,,M,Dom,oncogene,T,TFE3,,,"79058,Q9BZE9,ENSG00000169696,ASPSCR1"
ASXL1,additional sex combs like 1,171023,20:32358776-32437338,20q11.1,yes,,"MDS, CMML",,,L,Rec,TSG,"F, N, Mis",,yes,Bohring-Opitz syndrome,"171023,ENSG00000171456,KIAA0978,MGC117280,MGC71111,Q8IXJ9,ASXL1"
ATF1,activating transcription factor 1,466,12:50780147-50819780,12q13,yes,,"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma",,,"E, M",Dom,,T,"EWSR1, FUS",,,"ATF1,TREB36,P18846,ENSG00000123268,466"
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,471,2:215312144-215349656,2q35,yes,,ALCL,,,L,Dom,,T,ALK,,,"471,IMPCHASE,PURH,P31939,AICARFT,ENSG00000138363,ATIC"
ATM,ataxia telangiectasia mutated,472,11:108227625-108365508,11q22.3,yes,yes,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",,,,"ATM,TELO1,ATA,ATC,ATDC,MGC74674,Q13315,AT1,DKFZp781A0353,ATE,ATD,TEL1,ENSG00000149311,472"
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476,1:116373512-116404444,1p21,yes,,adrenal aldosterone producing adenoma,,,E,Dom,oncogene,"Mis, O",,,,"P05023,ATP1A1,476,ENSG00000163399,MGC3285,MGC51750"
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",492,X:153536248-153580003,Xq28,yes,,adrenal aldosterone producing adenoma,,,E,Dom,,O,,,,"492,PMCA3,ENSG00000067842,ATP2B3"
ATR,ATR serine/threonine kinase,545,3:142449429-142578704,3q23,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E; L",Dom,,"F; Mis",,yes,Seckel syndrome 1,"ATR,Q13535,FRP1,SCKL1,SCKL,MEC1,ENSG00000175054,545"
ATRX,alpha thalassemia/mental retardation syndrome X-linked,546,X:77508351-77786001,Xq21.1,yes,,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,,"Mis, F, N",,yes,ATR-X (alpha thalassemia/mental retardation) syndrome,"P46100,ATRX_ENST00000373344,546,ATR2,MGC2094,MRXHF1,RAD54,SFM1,SHS,XH2,XNP,ZNF-HX"
AXIN1,axin 1,8312,16:288122-347025,16p13.3,yes,,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",,,"E, O",Rec,,"D, Mis, N, F, S",,,,"8312,LA16c-314G4_3,MGC52315,AXIN,O15169,ENSG00000103126,AXIN1"
AXIN2,axin 2,8313,17:65529976-65558620,17q24.1,yes,yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,,"Mis, F, N",,,,"8313,AXIL,DKFZp781B0869,MGC126582,ENSG00000168646,AXIN2"
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),8314,3:52402288-52409878,3p21.31-p21.2,yes,yes,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, uveal melanoma",,E,Rec,TSG,"N, Mis, F, S, O",,,,"8314,DKFZp686N04275,FLJ35406,FLJ37180,HUCEP-13,hucep-6,KIAA0272,Q92560,ENSG00000163930,BAP1"
BCL10,B-cell CLL/lymphoma 10,8915,1:85267627-85276352,1p22,yes,,MALT,,,L,Dom,,T,IGH,,,"BCL10,CIPER,CLAP,mE10,CARMEN,c-E10,ENSG00000142867,8915"
BCL11A,B-cell CLL/lymphoma 11A,53335,2:60460404-60553270,2p13,yes,,B-CLL,,,L,Dom,,T,IGH,,,"53335,BCL11A-L,FLJ10173,EVI9,Q9H165,KIAA1809,BCL11A-XL,BCL11A-S,CTIP1,FLJ34997,ENSG00000119866,BCL11A"
BCL11B,B-cell CLL/lymphoma 11B  (CTIP2),64919,14:99174151-99271218,14q32.1,yes,,T-ALL,,,L,Dom,,T,TLX3,,,"BCL11B,CTIP-2,Q9C0K0,hRIT1-alpha,CTIP2,ENSG00000127152,64919"
BCL2,B-cell CLL/lymphoma 2,596,18:63128625-63318666,18q21.3,yes,,"NHL, CLL",,,L,Dom,oncogene,T,IGH,,,"596,Bcl-2,ENSG00000171791,BCL2"
BCL3,B-cell CLL/lymphoma 3,602,19:44748791-44759615,19q13,yes,,CLL,,,L,Dom,oncogene,T,IGH,,,"602,P20749,BCL4,D19S37,ENSG00000069399,BCL3"
BCL5,B-cell CLL/lymphoma 5,603,17:-,17q22,yes,,CLL,,,L,Dom,oncogene,T,MYC,,,
BCL6,B-cell CLL/lymphoma 6,604,3:187722458-187733693,3q27,yes,,"NHL, CLL",,,L,Dom,oncogene,"T, Mis","IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3",,,"603,BCL5,ZNF51,BCL6A,LAZ3,P41182,ZBTB27,ENSG00000113916,604,BCL6"
BCL7A,B-cell CLL/lymphoma 7A,605,12:122022092-122059163,12q24.1,yes,,BNHL,,,L,Dom,oncogene,T,MYC,,,"605,BCL7,ENSG00000110987,BCL7A"
BCL9,B-cell CLL/lymphoma 9,607,1:147611837-147624864,1q21,yes,,B-ALL,,,L,Dom,oncogene,T,"IGH, IGL",,,"BCL9,LGS,MGC131591,ENSG00000116128,607"
BCOR,BCL6 corepressor,54880,X:40052109-40077929,Xp11.4,yes,,"retinoblastoma, AML, APL (translocation)",,,,Rec,TSG,"F, N, S, T",RARA,yes,Oculo-facio-cardio-dental genetic,"BCOR,ANOP2,MGC71031,FLJ20285,MGC131961,KIAA1575,FLJ38041,MCOPS2,MAA2,ENSG00000183337,54880"
BCR,breakpoint cluster region,613,22:23180961-23315522,22q11.21,yes,,"CML, ALL, AML",,,L,Dom,oncogene,T,"ABL1,  FGFR1, JAK2",,,"613,FLJ16453,ALL,PHL,P11274,CML,D22S11,D22S662,BCR1,ENSG00000186716,BCR"
BIRC3,baculoviral IAP repeat-containing 3,330,11:102324510-102337102,11q22,yes,,"CLL, MALT, MCL, MM",,,L,Dom,,"D, F, N, T, Mis",MALT1,,,"BIRC3,AIP1,HAIP1,RNF49,hiap-1,MALT2,cIAP2,API2,CIAP2,MIHC,Q13489,HIAP1,ENSG00000023445,330"
BLM,Bloom Syndrome,641,15:90747393-90815279,15q26.1,,yes,,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,,"Mis, N, F",,,,"641,MGC131620,BS,MGC126616,RECQL3,RECQL2,RECQ2,MGC131618,ENSG00000197299,BLM"
BMPR1A,"bone morphogenetic protein receptor, type IA",657,10:86876019-86923719,10q22.3,,yes,,gastrointestinal polyps,juvenile polyposis,E,Rec,,"Mis, N, F",,,,"657,ACVRLK3,CD292,ALK3,P36894,ENSG00000107779,BMPR1A"
BRAF,v-raf murine sarcoma viral oncogene homolog B1,673,7:140734597-140924703,7q34,yes,,"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric",,,"E, O",Dom,oncogene,"Mis, T, O","AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP",yes,Cardio-facio-cutaneous syndrome,"673,MGC126806,B-raf1,BRAF1,B-raf 1,P15056,RAFB1,MGC138284,ENSG00000157764,BRAF"
BRCA1,familial breast/ovarian cancer gene 1,672,17:43045678-43124096,17q21,yes,yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"BRCA1,BRCAI,PSCP,RNF53,BRCC1,IRIS,ENSG00000012048,672"
BRCA2,familial breast/ovarian cancer gene 2,675,13:32316461-32398770,13q12,yes,yes,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",,,,"675,FAD,RP11-298P3_4,BRCC2,FANCD1,FANCD,FAD1,FACD,ENSG00000139618,BRCA2"
BRD3,bromodomain containing 3,8019,9:134033590-134053477,9q34,yes,,lethal midline carcinoma of young people,,,E,Dom,,T,NUTM1,,,"8019,KIAA0043,RING3L,ORFX,Q15059,ENSG00000169925,BRD3"
BRD4,bromodomain containing 4,23476,19:15249280-15273099,19p13.1,yes,,lethal midline carcinoma of young people,,,E,Dom,,T,NUTM1,,,"23476,O60885,MCAP,CAP,HUNKI,ENSG00000141867,BRD4"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,17:61683296-61861539,17q22,,yes,,"AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L, E",Rec,,"F, N, Mis",,,,"BRIP1,MGC126521,OF,MGC126523,Q9BX63,FLJ90232,FANCJ,ENSG00000136492,83990"
BTG1,"B-cell translocation gene 1, anti-proliferative",694,12:92144080-92145535,12q22,yes,,B-CLL,,,L,Dom,,T,MYC,,,"BTG1,P62324,ENSG00000133639,694"
BUB1B,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast),701,15:40161221-40220759,15q15,,yes,,rhabdomyosarcoma,mosaic variegated aneuploidy,M,Rec,,"Mis, N, F, S",,,,"BUB1B,BUBR1,O60566,Bub1A,hBUBR1,MAD3L,BUB1beta,SSK1,ENSG00000156970,701"
C12orf9,chromosome 12 open reading frame 9,93669,12:-,12q14.3,yes,,lipoma,,,M,Dom,,T,LPP,,,
C15orf65,chromosome 15 open reading frame 65,145788,15:-,15q21.3,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,,T,CIITA,,,
C2orf44,chromosome 2 open reading frame 44,80304,2:24030933-24039494,2p23.3,yes,,colorectal,,,E,Dom,,T,ALK,,,"80304,FLJ21945,PP384,ENSG00000163026,C2orf44"
CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit",776,3:53495167-53811406,3p14.3,yes,,adrenal aldosterone producing adenoma,,,E,Dom,,Mis,,yes,"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease.","CCHL1A2,CACNA1D,776,ENSG00000157388,CACH3,CACN4,CACNL1A2,Cav1_3"
CALR,calreticulin,811,19:12938680-12943913,19p13.3-p13.2,yes,,"MPN, MDS",,,L,Dom,oncogene,"F, Mis",,,,"811,ENSG00000179218,cC1qR,FLJ26680,RO,SSA,P27797,CALR"
CAMTA1,calmodulin binding transcription activator 1,23261,1:6785531-7766491,1p36.31-p36.23,yes,,epithelioid haemangioendothelioma,,,M,Dom,,T,WWTR1,,,"23261,ENSG00000171735,KIAA0833,Q9Y6Y1,CAMTA1"
CANT1,calcium activated nucleotidase 1,124583,17:78993550-78997622,17q25,yes,,prostate,,,E,Dom,,T,ETV4,,,"124583,ENSG00000171302,SCAN-1,SHAPY,Q8WVQ1,CANT1"
CARD11,"caspase recruitment domain family, member 11",84433,7:2906638-2958506,7p22,yes,,DLBCL,,,L,Dom,,Mis,,,,"84433,BIMP3,Q9BXL7,MGC133069,CARMA1,ENSG00000198286,CARD11"
CARS,cysteinyl-tRNA synthetase,833,11:3001114-3057367,11p15.5,yes,,ALCL,,,L,Dom,,T,ALK,,,"CARS,P49589,ENSG00000110619,833"
CASC5,cancer susceptibility candidate 5,57082,15:40602933-40654977,15q14,yes,,AML,,,L,Dom,,T,KMT2A,,,"CASC5,AF15Q14,Q8NG31,D40,ENSG00000137812,57082"
CASP8,"caspase 8, apoptosis-related cysteine peptidase",841,2:201266487-201286594,2q33-q34,yes,,"hepatocellular, oral squamous cell, breast",,,E,Rec,TSG,"N, S, F",,,,"CASP8,ALPS2B,FLICE,MCH5,MACH,CAP4,MGC78473,ENSG00000064012,841"
CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)",863,16:88876976-88976807,16q24,yes,,AML,,,L,Dom,,T,RUNX1,,,"CBFA2T3,ETO2,MTG16,MTGR2,ZMYND4,ENSG00000129993,863"
CBFB,"core-binding factor, beta subunit",865,16:67029409-67098733,16q22,yes,,AML,,,L,Dom,,T,MYH11,,,"865,PEBP2B,Q13951,ENSG00000067955,CBFB"
CBL,Cas-Br-M (murine) ecotropic retroviral transforming,867,11:119206418-119299781,11q23.3,yes,,"AML, JMML, MDS",,,L,Dom/Rec,oncogene/TSG,"T, Mis, S, O",KMT2A,,,"867,RNF55,CBL2,C-CBL,ENSG00000110395,CBL"
CBLB,Cas-Br-M (murine) ecotropic retroviral transforming sequence b,868,3:105658970-105867577,3q13.11,yes,,AML,,,L,Rec,TSG,"Mis, S",,,,"868,DKFZp686J10223,DKFZp779A0729,DKFZp779F1443,FLJ36865,FLJ41152,RNF56,Nbla00127,ENSG00000114423,CBLB"
CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,23624,19:44777932-44800443,19q13.2,yes,,AML,,,L,Rec,,M,,,,"23624,CBL-3,CBL-SL,Q9ULV8,RNF57,ENSG00000142273,CBLC"
CCDC6,coiled-coil domain containing 6,8030,10:59792917-59906424,10q21,yes,,"papillary thyroid, CML, NSCLC",,,E,Dom,,T,"RET, PDGFRB",,,"8030,D10S170,PTC,TST1,H4,TPC,Q16204,ENSG00000108091,CCDC6"
CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",57820,14:20311550-20316523,14q11.2,yes,,leiomyoma,,,M,Dom,,T,HMGA2,,,"CCNB1IP1,C14orf18,HEI10,Q9NPC3,ENSG00000100814,57820"
CCND1,cyclin D1,595,11:69641314-69651282,11q13,yes,,"CLL, B-ALL, breast",,,"L, E",Dom,oncogene,T,"IGH, FSTL3",,,"595,BCL1,D11S287E,U21B31,PRAD1,ENSG00000110092,CCND1"
CCND2,cyclin D2,894,12:4274041-4300009,12p13,yes,,"NHL,CLL",,,L,Dom,,T,IGL,,,"894,KIAK0002,MGC102758,P30279,ENSG00000118971,CCND2"
CCND3,cyclin D3,896,6:41935940-41941649,6p21,yes,,MM,,,L,Dom,,T,IGH,,,"896,P30281,ENSG00000112576,CCND3"
CCNE1,cyclin E1,898,19:29812556-29823777,19q12,yes,,serous ovarian,,,E,Dom,,A,,,,"898,CCNE,P24864,ENSG00000105173,CCNE1"
CD274,CD274 molecule,29126,9:5456114-5467862,9p24,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,,T,CIITA,,,"CD274,PDL1,B7-H,Q9NZQ7,B7H1,MGC142294,PDCD1LG1,MGC142296,PD-L1,PDCD1L1,ENSG00000120217,29126"
CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain",972,5:150402584-150412749,5q32,yes,,NSCLC,,,E,Dom,,T,"ROS1, NRG1",,,"972,ENSG00000019582,DHLAG,HLADG,Ia-GAMMA,protein 41,CD74"
CD79A,"CD79a molecule, immunoglobulin-associated alpha",973,19:41877305-41880980,19q13.2,yes,,"DLBCL, WM",,,L,Dom,,S,,yes,Agammaglobulinaemia,"973,ENSG00000105369,IGA,MB-1,P11912,CD79A"
CD79B,"CD79b molecule, immunoglobulin-associated beta",974,17:63929226-63932261,17q23,yes,,"DLBCL, WM",,,L,Dom,,"Mis, S",,yes,Agammaglobulinaemia,"974,ENSG00000007312,B29,IGB,P40259,CD79B"
CDC73,cell division cycle 73,79577,1:193122201-193250712,1q21-q31,yes,yes,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma",hyperparathyroidism-jaw tumour syndrome,"E, M",Rec,TSG,"Mis, N, F",,,,"79577,HRPT2,C1orf28,FLJ23316,Q6P1J9,HPT-JT,ENSG00000134371,CDC73"
CDH1,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",999,16:68737416-68833499,16q22.1,yes,yes,"lobular breast, gastric",gastric,familial gastric carcinoma,E,Rec,,"Mis, N, F, S",,,,"999,uvomorulin,ECAD,CD324,LCAM,UVO,Arc-1,CDHE,ENSG00000039068,CDH1,P12830"
CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009,16:64947603-65004869,16q22.1,yes,,aneurysmal bone cyst,,,M,Dom,,T,USP6,,,"1009,OB,P55287,CAD11,ENSG00000140937,CDH11"
CDK12,cyclin-dependent kinase 12,51755,17:39462072-39531316,17q12,yes,,serous ovarian,,,E,Rec,,"Mis, N, F",,,,"CRKRS,KIAA0904,Q9NYV4,CRKR,CRK7,ENSG00000167258,CRKRS,51755"
CDK4,cyclin-dependent kinase 4,1019,12:57748525-57751717,12q14,,yes,,melanoma,familial malignant melanoma,E,Dom,oncogene,Mis,,,,"1019,PSK-J3,P11802,CMM3,MGC14458,ENSG00000135446,CDK4"
CDK6,cyclin-dependent kinase 6,1021,7:92615140-92833323,7q21-q22,yes,,ALL,,,L,Dom,oncogene,T,MLLT10,,,"CDK6,MGC59692,PLSTIRE,ENSG00000105810,Q00534,1021"
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027,12:12717840-12718946,12p13.1-p12,yes,yes,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",multiple endocrine neoplasia type IV,E,Rec,TSG,F,,,,"1027,CDKN4,KIP1,MEN1B,P46527,P27KIP1,MEN4,ENSG00000111276,CDKN1B"
CDKN2A,cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene,1029,9:21968229-21974827,9p21,yes,yes,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"CDKN2A,CDK4I,INK4,MLM,p14ARF,p16INK4,CDKN2,INK4a,p16INK4a,p19,MTS1,p16,TP16,ARF,CMM2,p14,P42771,ENSG00000147889,1029"
CDKN2A(p14),cyclin-dependent kinase inhibitor 2A--  p14ARF protein,1029,9:21957751-21984490,9p21,yes,yes,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,,"D, S",,,,"CDKN2A(p14),CDKN2a(p14),1029,ENSG00000147889,ARF,CDK4I,CDKN2,CMM2,INK4,INK4a,MLM,MTS1,p14,p14ARF,p16,p16INK4,p16INK4a,p19,TP16,Q8N726"
CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1031,1:50970369-50974270,1p32,yes,,"glioma, MM",,,"O, L",Rec,TSG,D,,,,"1031,P42773,p18-INK4C,p18,INK4C,ENSG00000123080,CDKN2C"
CDX2,caudal type homeo box transcription factor 2,1045,13:27963115-27969006,13q12.3,yes,,AML,,,L,Dom,,T,ETV6,,,"1045,CDX3,Q99626,ENSG00000165556,CDX2"
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,19:33301338-33302414,19q13.1,yes,,"AML, MDS",,,L,Dom,,"Mis, N, F",,,,"1050,CEBP,P49715,C/EBP-alpha,CEBPA"
CEP89,centrosomal protein 89kDa,84902,19:32879162-32971874,19q13.11,yes,,Spitzoid tumour,,,E,Dom,,T,BRAF,,,"84902,ENSG00000121289,FLJ14640,Q96ST8,CCDC123,CCDC123"
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,79145,8:56214614-56217435,8q11.2,yes,,salivary adenoma,,,E,Dom,,T,PLAG1,,,"79145,ENSG00000170791,FLJ40966,MGC2217,Q9BUK0,CHCHD7"
CHD4,chromodomain helicase DNA binding protein 4,1108,12:6570676-6606373,12p13,yes,,uterine serous carcinoma,,,E,Dom,oncogene,"Mis, F, N",,,,"CHD4,Mi2-BETA,Q14839,DKFZp686E06161,Mi-2b,ENSG00000111642,1108"
CHEK2,CHK2 checkpoint homolog (S. pombe),11200,22:28687897-28734721,22q12.1,,yes,,breast,familial breast cancer,E,Rec,TSG,F,,,,"11200,bA444G7,HuCds1,CHK2,LFS2,PP1425,RP11-436C9_1,RAD53,O96017,ENSG00000183765,CHEK2"
CHIC2,cysteine-rich hydrophobic domain 2,26511,4:54010095-54064300,4q11-q12,yes,,AML,,,L,Dom,,T,ETV6,,,"26511,BTL,Q9UKJ5,CHIC2"
CHN1,chimerin (chimaerin) 1,1123,2:174800116-175004912,2q31-q32.1,yes,,extraskeletal myxoid chondrosarcoma,,,M,Dom,,T,TAF15,,,"CHN1,ARHGAP2,RHOGAP2,n-chimerin,CHN,RhoGAP2,ENSG00000128656,1123"
